title,author,pdf_url
1.charitraka Sreeshailam 2. Bharatiya Samskruthi 3.charitraka  Kashi Kshetramu,K.laxmi Narayana,http://www.dli.ernet.in/bitstream/handle/2015/394312/1Charitraka-Sreeshailam.pdf?sequence=1&isAllowed=y
10031 Upanishhatsaara Giitamulu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/333006/10031-Upanishhatsaara.pdf?sequence=1&isAllowed=y
10029 Haribhakti Rasaayana Gran'dha,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/333008/10029-Haribhakti.pdf?sequence=1&isAllowed=y
10030 Niiti Bhodha,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/333007/10030-Niiti.pdf?sequence=1&isAllowed=y
10035 Shrii Mahabhaagavatamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/333002/10035-Shrii.pdf?sequence=1&isAllowed=y
10032 Shrii Bhaarataarnd-avalagha Bhoodhini,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/333005/10032-Shrii.pdf?sequence=1&isAllowed=y
10033 Avataarika,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/333004/10033-Avataarika.pdf?sequence=1&isAllowed=y
100145 Shrii Giitaadhanasaara San'grahamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332895/100145-Shrii.pdf?sequence=1&isAllowed=y
10027 Brahmasuutraardha San'grahamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/333010/10027-Brahmasuutraardha.pdf?sequence=1&isAllowed=y
10028 Shrii Sadguru Vilaasamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/333009/10028-Shrii.pdf?sequence=1&isAllowed=y
10042 Pushhpa Baand-avilaasamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332995/10042-Pushhpa.pdf?sequence=1&isAllowed=y
10045 Kavirahasyam,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332994/10045-Kavirahasyam.pdf?sequence=1&isAllowed=y
10041 Vin'ta Padyamulu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332996/10041-Vinta.pdf?sequence=1&isAllowed=y
10047 Shrii Raama Rasaayana,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332991/10047-Shrii.pdf?sequence=1&isAllowed=y
10046 Purushha Suuktaardhamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332993/10046-Purushha.pdf?sequence=1&isAllowed=y
10036 Niitivaakya Ratnaakaramu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/333001/10036-Niitivaakya.pdf?sequence=1&isAllowed=y
10038 Dharmaan'ga Charitramu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332999/10038-Dharmaanga.pdf?sequence=1&isAllowed=y
10039 Atiitaanubhavatatyaniiti,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332998/10039-Atiitaanubhavatatyaniiti.pdf?sequence=1&isAllowed=y
10037 Shrii Giitaa Bhaashhyatraya Saramu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/333000/10037-Shrii.pdf?sequence=1&isAllowed=y
10056 Satrpabhuupadyamala,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332982/10056-Satrpabhuupadyamala.pdf?sequence=1&isAllowed=y
10048 Chilaban'di Anubhraatrxsauhrxdamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332990/10048-Chilabandi.pdf?sequence=1&isAllowed=y
10058 Tarka San'grahamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332980/10058-Tarka.pdf?sequence=1&isAllowed=y
10053 Shrii Madaan'dhra Manudharmashaastramu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332985/10053-Shrii.pdf?sequence=1&isAllowed=y
10054 Rxgveidaabdika Prayoogamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332984/10054-Rxgveidaabdika.pdf?sequence=1&isAllowed=y
10040 Badi Niitulu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332997/10040-Badi.pdf?sequence=1&isAllowed=y
10055 Shrii Suuktivastu Prakaashakamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332983/10055-Shrii.pdf?sequence=1&isAllowed=y
10050 Bhagavat Stootramu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332988/10050-Bhagavat.pdf?sequence=1&isAllowed=y
10049 Upanyaasan' San'kiirtana,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332989/10049-Upanyaasan.pdf?sequence=1&isAllowed=y
10051 Jagadiishiiyadhiidhiti Vyaakhyaanam,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332987/10051-Jagadiishiiyadhiidhiti.pdf?sequence=1&isAllowed=y
10052 Bhraatraaraadhana,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332986/10052-Bhraatraaraadhana.pdf?sequence=1&isAllowed=y
10069 Grahamakhamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332969/10069-Grahamakhamu.pdf?sequence=1&isAllowed=y
10068 Shrii Vaibhaanasaachaarya Paran'paraanu San'dhaana Kramamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332971/10068-Shrii.pdf?sequence=1&isAllowed=y
10067 Suurya Namaskaara Darpand-amu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332972/10067-Suurya.pdf?sequence=1&isAllowed=y
10066 Svaami Dayaanan'da Sarasvati,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332973/10066-Svaami.pdf?sequence=1&isAllowed=y
10065 Chatussuutritaatparya Vimarsha,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332974/10065-Chatussuutritaatparya.pdf?sequence=1&isAllowed=y
10063 Diipikaa Prabhaa Man'd'anamaala,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332976/10063-Diipikaa.pdf?sequence=1&isAllowed=y
10062 Suukti Ratnaaval'i,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332977/10062-Suukti.pdf?sequence=1&isAllowed=y
10061 Niiti Muktaaval'i,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332978/10061-Niiti.pdf?sequence=1&isAllowed=y
10059 Bhagavadvishhayonishhattulu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332979/10059-Bhagavadvishhayonishhattulu.pdf?sequence=1&isAllowed=y
10064 Upanyaasamulu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332975/10064-Upanyaasamulu.pdf?sequence=1&isAllowed=y
10076 Satyavaakyamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332962/10076-Satyavaakyamu.pdf?sequence=1&isAllowed=y
10078 Shrii Pan'd'itaaraadhya Charitra,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332960/10078-Shrii.pdf?sequence=1&isAllowed=y
10075 San'dhyaavan'danaadikan',Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332963/10075-Sandhyaavandanaadikan.pdf?sequence=1&isAllowed=y
10079  Brahmaasuutrasyanrxsin'habhaashhyan' Asyadvitiiyaadhyaayan',Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332958/10079-.pdf?sequence=1&isAllowed=y
10074 Bhaarata Saavitri,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332964/10074-Bhaarata.pdf?sequence=1&isAllowed=y
10072 Muktimaargoopadeishini,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332966/10072-Muktimaargoopadeishini.pdf?sequence=1&isAllowed=y
10071 Saanan'doo Paakhyaanamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332967/10071-Saanandoo.pdf?sequence=1&isAllowed=y
10073 Matrxpreima,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332965/10073-Matrxpreima.pdf?sequence=1&isAllowed=y
10070 Kand-vasandyaavyaakhyaa,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332968/10070-Kand-vasandyaavyaakhyaa.pdf?sequence=1&isAllowed=y
10077 Bhakti Yoogamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332961/10077-Bhakti.pdf?sequence=1&isAllowed=y
10087 Mand-iratnamaalaa Stootram,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332952/10087-Mand-iratnamaalaa.pdf?sequence=1&isAllowed=y
10088 Manoohitamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332951/10088-Manoohitamu.pdf?sequence=1&isAllowed=y
10080 Jnj-aana Lahari,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332957/10080-Jnj-aana.pdf?sequence=1&isAllowed=y
10091 Brxhadvaashishht'hamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332947/10091-Brxhadvaashishhthamu.pdf?sequence=1&isAllowed=y
10090 Guru Daqs-ind-a,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332949/10090-Guru.pdf?sequence=1&isAllowed=y
10089 Anubhavasudhaanidhi 2va Bhaagan',Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332950/10089-Anubhavasudhaanidhi.pdf?sequence=1&isAllowed=y
10086 Uttara Kumaara Prajnj-a,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332953/10086-Uttara.pdf?sequence=1&isAllowed=y
10085 Pan'chaban'da Vimukti,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332954/10085-Panchabanda.pdf?sequence=1&isAllowed=y
10083 Putrikaa Smrxti,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332956/10083-Putrikaa.pdf?sequence=1&isAllowed=y
10092 Shrii Baalakrxshhnd-atiruvaaraadhanam,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332946/10092-Shrii.pdf?sequence=1&isAllowed=y
10102 Aabdika Vidhi,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332939/10102-Aabdika.pdf?sequence=1&isAllowed=y
10103 Bhaaratii Nigayopalaqs-and-amulu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332938/10103-Bhaaratii.pdf?sequence=1&isAllowed=y
10097 Muktaaval'ivyaakhyaaman'jushhaa,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332943/10097-Muktaavalivyaakhyaamanjushhaa.pdf?sequence=1&isAllowed=y
10099 San'dhyaavan'dana Kriyaaprayooga,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332942/10099-Sandhyaavandana.pdf?sequence=1&isAllowed=y
10105 Purnd-abhoodha Siddaan'ta Saaraamrxtamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332935/10105-Purnd-abhoodha.pdf?sequence=1&isAllowed=y
10114 Ashaacha Sarvasvamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332925/10114-Ashaacha.pdf?sequence=1&isAllowed=y
10112 Shrii Ran'gaavadhuutala Vaari Divya Jiivitamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332928/10112-Shrii.pdf?sequence=1&isAllowed=y
10084 Yoogamu Parooqs-amu Aparooqs-amu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332955/10084-Yoogamu.pdf?sequence=1&isAllowed=y
10111 Shrii Bhagavadgiitaa Vachanamu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332929/10111-Shrii.pdf?sequence=1&isAllowed=y
10101 Yooga Saaramu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332940/10101-Yooga.pdf?sequence=1&isAllowed=y
10113 Giitaman'jari,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332927/10113-Giitamanjari.pdf?sequence=1&isAllowed=y
10094 Pan'chamahapaatakamulu,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332945/10094-Panchamahapaatakamulu.pdf?sequence=1&isAllowed=y
10100 Vaikun't'a Shikharishi Pan'chadashi,Not Available,http://www.dli.ernet.in/bitstream/handle/2015/332941/10100-Vaikunta.pdf?sequence=1&isAllowed=y
